period,rows_compared,max_abs_error,mean_abs_error
weekday_morning,3812,6.394884621840902e-14,8.212544194197263e-16
weekday_evening,3813,9.237055564881302e-14,1.4702134044975793e-15
weekend_midday,3812,1.1013412404281553e-13,1.3590769884823085e-15
weekend_evening,3813,1.1368683772161603e-13,1.285608436008959e-15
