province,block_id,budget_fraction,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound
cantho,0,0.02,0.033604345058637755,0.0369041363507397,0.37993692557154624
cantho,0,0.05,0.033604345058637755,0.0369041363507397,0.37993692557154624
cantho,0,0.1,0.033604345058637755,0.0369041363507397,0.37993692557154624
cantho,1,0.02,0.6038640561117296,0.6409007859264771,0.8534234383624903
cantho,1,0.05,0.6038640561117296,0.6409007859264771,0.8534234383624903
cantho,1,0.1,0.6038640561117296,0.6409007859264771,0.8534234383624903
cantho,2,0.02,0.0,0.0,0.0
cantho,2,0.05,0.0,0.0,0.0
cantho,2,0.1,0.0,0.0,0.0
danang,0,0.02,0.7002753928982426,0.7754220885485293,0.8445892264483288
danang,0,0.05,0.7002753928982426,0.7754220885485293,0.8445892264483288
danang,0,0.1,0.7002753928982426,0.7754220885485293,0.8445892264483288
danang,1,0.02,0.026508674355744073,0.03842973597497866,0.09795544860952322
danang,1,0.05,0.026508674355744073,0.03842973597497866,0.09795544860952322
danang,1,0.1,0.026508674355744073,0.03842973597497866,0.09795544860952322
danang,2,0.02,0.0,0.0,0.0
danang,2,0.05,0.0,0.0,0.0
danang,2,0.1,0.0,0.0,0.0
haiphong,0,0.02,0.37714469204830664,0.4669746905786318,0.6096556832989133
haiphong,0,0.05,0.37714469204830664,0.4669746905786318,0.6096556832989133
haiphong,0,0.1,0.37714469204830664,0.4669746905786318,0.6096556832989133
haiphong,1,0.02,0.1548772071063852,0.17889771595931192,0.21487473313393338
haiphong,1,0.05,0.1548772071063852,0.17889771595931192,0.21487473313393338
haiphong,1,0.1,0.1548772071063852,0.17889771595931192,0.21487473313393338
haiphong,2,0.02,0.09983086703645773,0.09630891792350528,0.37112466714149617
haiphong,2,0.05,0.09983086703645773,0.09630891792350528,0.37112466714149617
haiphong,2,0.1,0.09983086703645773,0.09630891792350528,0.37112466714149617
hanoi,0,0.02,0.6013428910658623,0.6687814154636188,0.8310775258502541
hanoi,0,0.05,0.6013428910658623,0.6687814154636188,0.8310775258502541
hanoi,0,0.1,0.6013428910658623,0.6687814154636188,0.8310775258502541
hanoi,1,0.02,0.19560779530102662,0.20336792525463968,0.4965311787213018
hanoi,1,0.05,0.19560779530102662,0.20336792525463968,0.4965311787213018
hanoi,1,0.1,0.19560779530102662,0.20336792525463968,0.4965311787213018
hanoi,2,0.02,0.20779702485184587,0.22449942335547926,0.3762448882426785
hanoi,2,0.05,0.20779702485184587,0.22449942335547926,0.3762448882426785
hanoi,2,0.1,0.20779702485184587,0.22449942335547926,0.3762448882426785
hochiminh,0,0.02,0.2879327500412714,0.326166510152744,0.5695826322897596
hochiminh,0,0.05,0.2879327500412714,0.326166510152744,0.5695826322897596
hochiminh,0,0.1,0.2879327500412714,0.326166510152744,0.5695826322897596
hochiminh,1,0.02,0.5980611778970086,0.6808458512987448,0.8676135006015044
hochiminh,1,0.05,0.5980611778970086,0.6808458512987448,0.8676135006015044
hochiminh,1,0.1,0.5980611778970086,0.6808458512987448,0.8676135006015044
hochiminh,2,0.02,0.4593803712401222,0.5199407894435062,0.7055856603662245
hochiminh,2,0.05,0.4593803712401222,0.5199407894435062,0.7055856603662245
hochiminh,2,0.1,0.4593803712401222,0.5199407894435062,0.7055856603662245
