temporal_condition,excluded_local_date,province,metric,oriented_improvement
exclude_2026-06-17,2026-06-17,haiphong,p95_service_distance_km,4.290980620699314
exclude_2026-06-17,2026-06-17,haiphong,redundancy_jaccard,0.05955987361926479
exclude_2026-06-17,2026-06-17,haiphong,temporal_incremental_coverage,0.0151127659123913
exclude_2026-06-17,2026-06-17,haiphong,zone_gini,0.0144091524267654
exclude_2026-06-17,2026-06-17,haiphong,zone_jain,0.015711817035904185
exclude_2026-06-17,2026-06-17,hanoi,heldout_recall_2km,0.291605298799905
exclude_2026-06-17,2026-06-17,hanoi,heldout_temporal_demand_capture,0.12215602462878354
exclude_2026-06-17,2026-06-17,hanoi,mean_service_distance_km,0.656124179255318
exclude_2026-06-17,2026-06-17,hanoi,normalized_heldout_capture,0.5916535018284658
exclude_2026-06-17,2026-06-17,hanoi,p95_service_distance_km,5.273523506120018
exclude_2026-06-17,2026-06-17,hanoi,redundancy_jaccard,0.035994267928791214
exclude_2026-06-17,2026-06-17,hanoi,temporal_incremental_coverage,-0.08002607852380415
exclude_2026-06-17,2026-06-17,hanoi,zone_gini,0.04448684617910422
exclude_2026-06-17,2026-06-17,hanoi,zone_jain,0.04997917554821565
exclude_2026-06-17,2026-06-17,hochiminh,heldout_recall_2km,0.244407353739199
exclude_2026-06-17,2026-06-17,hochiminh,heldout_temporal_demand_capture,0.1234160861165301
exclude_2026-06-17,2026-06-17,hochiminh,mean_service_distance_km,2.63313739900038
exclude_2026-06-17,2026-06-17,hochiminh,normalized_heldout_capture,0.3358975760703979
exclude_2026-06-17,2026-06-17,hochiminh,p95_service_distance_km,6.780809550300272
exclude_2026-06-17,2026-06-17,hochiminh,redundancy_jaccard,0.0021875011476005673
exclude_2026-06-17,2026-06-17,hochiminh,temporal_incremental_coverage,0.020567968764272932
exclude_2026-06-17,2026-06-17,hochiminh,zone_gini,0.03768941271371943
exclude_2026-06-17,2026-06-17,hochiminh,zone_jain,0.04229912291312208
exclude_2026-06-18,2026-06-18,cantho,heldout_recall_2km,0.032465265568921854
exclude_2026-06-18,2026-06-18,cantho,heldout_temporal_demand_capture,-0.011063215242916249
exclude_2026-06-18,2026-06-18,cantho,mean_service_distance_km,3.805900780510227
exclude_2026-06-18,2026-06-18,cantho,normalized_heldout_capture,0.22255124321048997
exclude_2026-06-18,2026-06-18,cantho,p95_service_distance_km,17.392219625965026
exclude_2026-06-18,2026-06-18,cantho,redundancy_jaccard,0.3662674348264419
exclude_2026-06-18,2026-06-18,cantho,temporal_incremental_coverage,-0.019630383190513967
exclude_2026-06-18,2026-06-18,cantho,zone_gini,0.04609640899323216
exclude_2026-06-18,2026-06-18,cantho,zone_jain,0.05096189317847521
exclude_2026-06-18,2026-06-18,danang,heldout_recall_2km,0.03402592315139735
exclude_2026-06-18,2026-06-18,danang,heldout_temporal_demand_capture,0.024020491956406976
exclude_2026-06-18,2026-06-18,danang,mean_service_distance_km,2.2582302668776664
exclude_2026-06-18,2026-06-18,danang,normalized_heldout_capture,0.16438427569853487
exclude_2026-06-18,2026-06-18,danang,p95_service_distance_km,11.75077213405424
exclude_2026-06-18,2026-06-18,danang,redundancy_jaccard,0.165073721848178
exclude_2026-06-18,2026-06-18,danang,temporal_incremental_coverage,-0.0037311940784512435
exclude_2026-06-18,2026-06-18,danang,zone_gini,0.027525071367020093
exclude_2026-06-18,2026-06-18,danang,zone_jain,0.03098725689926307
exclude_2026-06-18,2026-06-18,haiphong,heldout_recall_2km,0.192544111052911
exclude_2026-06-18,2026-06-18,haiphong,heldout_temporal_demand_capture,0.08909291434217796
exclude_2026-06-18,2026-06-18,haiphong,mean_service_distance_km,1.1504246687832242
exclude_2026-06-18,2026-06-18,haiphong,normalized_heldout_capture,0.6216879372550078
