temporal_condition,excluded_local_date,province,block_id,metric,b5,b6,raw_b6_minus_b5,oriented_improvement
full_reaggregated,,hanoi,0,heldout_temporal_demand_capture,0.19103423155279503,0.19773339413076793,0.0066991625779729,0.0066991625779729
full_reaggregated,,hanoi,0,normalized_heldout_capture,0.31954416759023985,0.3307498992129434,0.011205731622703552,0.011205731622703552
full_reaggregated,,hanoi,0,heldout_recall_2km,0.3999387842402503,0.4535644160424817,0.0536256318022314,0.0536256318022314
full_reaggregated,,hanoi,0,temporal_incremental_coverage,0.337440903126092,0.32483875826731595,-0.012602144858776032,-0.012602144858776032
full_reaggregated,,hanoi,0,zone_jain,0.27183206257151954,0.2692466371879929,-0.0025854253835266294,-0.0025854253835266294
full_reaggregated,,hanoi,0,zone_gini,0.7550792171942302,0.7560713951970857,0.0009921780028554483,-0.0009921780028554483
full_reaggregated,,hanoi,0,mean_service_distance_km,2.3120785500633683,1.8995878758741584,-0.4124906741892098,0.4124906741892098
full_reaggregated,,hanoi,0,p95_service_distance_km,10.131288678115846,6.080674149035105,-4.0506145290807405,4.0506145290807405
full_reaggregated,,hanoi,0,redundancy_jaccard,0.06996664779726915,0.06366388787264074,-0.006302759924628407,0.006302759924628407
full_reaggregated,,hanoi,1,heldout_temporal_demand_capture,0.0,0.18553438693297916,0.18553438693297916,0.18553438693297916
full_reaggregated,,hanoi,1,normalized_heldout_capture,0.0,0.8928635386635615,0.8928635386635615,0.8928635386635615
full_reaggregated,,hanoi,1,heldout_recall_2km,0.0,0.3492502320127518,0.3492502320127518,0.3492502320127518
full_reaggregated,,hanoi,1,temporal_incremental_coverage,0.13961411514231636,0.02552592156425367,-0.11408819357806269,-0.11408819357806269
full_reaggregated,,hanoi,1,zone_jain,0.36967595495614153,0.4413409573955262,0.07166500243938467,0.07166500243938467
full_reaggregated,,hanoi,1,zone_gini,0.6702837328866309,0.607006755042633,-0.06327697784399788,0.06327697784399788
full_reaggregated,,hanoi,1,mean_service_distance_km,1.5669822630161518,0.9873934303877914,-0.5795888326283605,0.5795888326283605
full_reaggregated,,hanoi,1,p95_service_distance_km,5.438249740528249,2.3310815106185565,-3.1071682299096928,3.1071682299096928
full_reaggregated,,hanoi,1,redundancy_jaccard,0.07502223684052774,0.02947262949484621,-0.04554960734568153,0.04554960734568153
full_reaggregated,,hanoi,2,heldout_temporal_demand_capture,0.0,0.173781099023743,0.173781099023743,0.173781099023743
full_reaggregated,,hanoi,2,normalized_heldout_capture,0.0,0.8694545406425115,0.8694545406425115,0.8694545406425115
full_reaggregated,,hanoi,2,heldout_recall_2km,0.0,0.47051331510573124,0.47051331510573124,0.47051331510573124
full_reaggregated,,hanoi,2,temporal_incremental_coverage,0.13961411514231636,0.026262677247104613,-0.11335143789521175,-0.11335143789521175
full_reaggregated,,hanoi,2,zone_jain,0.4285459708543888,0.5093958574603379,0.0808498866059491,0.0808498866059491
full_reaggregated,,hanoi,2,zone_gini,0.618086208251617,0.5469340292084568,-0.07115217904316018,0.07115217904316018
full_reaggregated,,hanoi,2,mean_service_distance_km,1.945185950002247,0.9660145105192381,-0.9791714394830089,0.9791714394830089
full_reaggregated,,hanoi,2,p95_service_distance_km,11.195857222815281,2.2366762783507093,-8.959180944464572,8.959180944464572
