partition_mode,block_seed,province,block_id,metric,b5,b6,raw_b6_minus_b5,oriented_improvement
kmeans,0,hanoi,0,heldout_temporal_demand_capture,0.0,0.18553438693297913,0.18553438693297913,0.18553438693297913
kmeans,0,hanoi,0,normalized_heldout_capture,0.0,0.8928635386635615,0.8928635386635615,0.8928635386635615
kmeans,0,hanoi,0,heldout_recall_2km,0.0,0.3492502320127517,0.3492502320127517,0.3492502320127517
kmeans,0,hanoi,0,temporal_incremental_coverage,0.13961411514231636,0.025525921564253668,-0.1140881935780627,-0.1140881935780627
kmeans,0,hanoi,0,zone_jain,0.36967595495614153,0.4413409573955262,0.07166500243938467,0.07166500243938467
kmeans,0,hanoi,0,zone_gini,0.6702837328866307,0.607006755042633,-0.06327697784399766,0.06327697784399766
kmeans,0,hanoi,0,mean_service_distance_km,1.5669822630161516,0.9873934303877915,-0.5795888326283601,0.5795888326283601
kmeans,0,hanoi,0,p95_service_distance_km,5.438249740528249,2.3310815106185565,-3.1071682299096928,3.1071682299096928
kmeans,0,hanoi,0,redundancy_jaccard,0.07502223684052774,0.02947262949484621,-0.04554960734568153,0.04554960734568153
kmeans,0,hanoi,1,heldout_temporal_demand_capture,0.0,0.17007208580954858,0.17007208580954858,0.17007208580954858
kmeans,0,hanoi,1,normalized_heldout_capture,0.0,0.8694545406425118,0.8694545406425118,0.8694545406425118
kmeans,0,hanoi,1,heldout_recall_2km,0.0,0.4604711407094054,0.4604711407094054,0.4604711407094054
kmeans,0,hanoi,1,temporal_incremental_coverage,0.13961411514231636,0.026262677247104613,-0.11335143789521175,-0.11335143789521175
kmeans,0,hanoi,1,zone_jain,0.4277552854247141,0.5085674905996913,0.08081220517497723,0.08081220517497723
kmeans,0,hanoi,1,zone_gini,0.6188042250692884,0.5476844993807695,-0.07111972568851899,0.07111972568851899
kmeans,0,hanoi,1,mean_service_distance_km,1.9544638235458447,0.9666326691487649,-0.9878311543970798,0.9878311543970798
kmeans,0,hanoi,1,p95_service_distance_km,11.34418032327435,2.2366762783507093,-9.10750404492364,9.10750404492364
kmeans,0,hanoi,1,redundancy_jaccard,0.07502223684052774,0.018877289078399917,-0.05614494776212782,0.05614494776212782
kmeans,0,hanoi,2,heldout_temporal_demand_capture,0.19215561356194927,0.198894100612454,0.006738487050504727,0.006738487050504727
kmeans,0,hanoi,2,normalized_heldout_capture,0.3195441675902399,0.3307498992129435,0.011205731622703607,0.011205731622703607
kmeans,0,hanoi,2,heldout_recall_2km,0.4022864480791581,0.4562268654475351,0.053940417368377014,0.053940417368377014
kmeans,0,hanoi,2,temporal_incremental_coverage,0.337440903126092,0.324838758267316,-0.012602144858775977,-0.012602144858775977
kmeans,0,hanoi,2,zone_jain,0.27285553963581305,0.27027779744453884,-0.0025777421912742127,-0.0025777421912742127
