pair_unit,budget_fraction,reference,baseline,metric,higher_is_better,n_pairs,raw_reference_minus_baseline_mean,oriented_improvement_mean,oriented_improvement_median,bootstrap_ci95_low,bootstrap_ci95_high,win_share,tie_share,wilcoxon_p_two_sided
city,0.02,B6_evspark_cover,B1_random,heldout_temporal_demand_capture,True,5,0.038313780650766086,0.038313780650766086,0.052735832107260676,0.01112222568696053,0.06215839105360307,0.8,0.0,0.125
city,0.02,B6_evspark_cover,B1_random,normalized_heldout_capture,True,5,0.24549725925475144,0.24549725925475144,0.2757400337904361,0.14678446816501003,0.3442100503444928,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,heldout_recall_1km,True,5,0.04018390321256852,0.04018390321256852,0.05297413452489887,0.009891725508468821,0.06505681056759985,0.8,0.0,0.125
city,0.02,B6_evspark_cover,B1_random,heldout_recall_2km,True,5,0.09754198135517436,0.09754198135517436,0.12928130555482106,0.042355344705054844,0.13423418322459957,0.8,0.0,0.125
city,0.02,B6_evspark_cover,B1_random,heldout_top25_recall_2km,True,5,0.10583052195706658,0.10583052195706658,0.1298412698412698,0.04190752242926155,0.15907192982456136,0.8,0.0,0.125
city,0.02,B6_evspark_cover,B1_random,temporal_incremental_coverage,True,5,0.03597632909747696,0.03597632909747696,0.02936223912859889,0.01969904138053535,0.052253616814418556,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,bottom20_final_coverage,True,5,0.0484550779376689,0.0484550779376689,0.0400902635846766,0.010007485614450707,0.08690267026088708,0.8,0.0,0.125
city,0.02,B6_evspark_cover,B1_random,zone_jain,True,5,0.009683357484186894,0.009683357484186894,0.011068604282007954,0.006839086255951499,0.01226948308621364,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,zone_gini,False,5,-0.00854046520586127,0.00854046520586127,0.010072827067500012,0.006095454456027683,0.01081961172753243,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,mean_service_distance_km,False,5,-1.0873855923589375,1.0873855923589375,1.183936148629963,0.6363893464711332,1.4570390692778896,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,p95_service_distance_km,False,5,-2.693293929829755,2.693293929829755,2.4303556169152927,2.0627646652217733,3.3512231473677074,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,redundancy_jaccard,False,5,0.13736277011654952,-0.13736277011654952,-0.13813590504006223,-0.2072315465409095,-0.07262445127613919,0.0,0.0,0.0625
city,0.02,B6_evspark_cover,B1_random,runtime_seconds,False,5,0.12486247695329236,-0.12486247695329236,-0.04319653916664821,-0.24567500216217214,-0.025109016068874758,0.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,heldout_temporal_demand_capture,True,5,0.0477274476660624,0.0477274476660624,0.06602722809884211,0.01175067622354304,0.08209896283014848,0.8,0.0,0.1875
city,0.02,B6_evspark_cover,B2_poi_density,normalized_heldout_capture,True,5,0.27920666366520963,0.27920666366520963,0.24178211616064185,0.18063040587035878,0.3786501847838519,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,heldout_recall_1km,True,5,0.052391862482960495,0.052391862482960495,0.07148117199611281,0.013125084869906437,0.09165864009601456,0.8,0.0,0.1875
city,0.02,B6_evspark_cover,B2_poi_density,heldout_recall_2km,True,5,0.14528415911817052,0.14528415911817052,0.14248932476617013,0.06937676644924998,0.21802189771466543,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,heldout_top25_recall_2km,True,5,0.1504853041695147,0.1504853041695147,0.12857142857142856,0.06022556390977444,0.2497676008202324,0.8,0.2,0.125
city,0.02,B6_evspark_cover,B2_poi_density,temporal_incremental_coverage,True,5,0.011870484541069547,0.011870484541069547,0.030900527946813913,-0.026315382475963954,0.045145405877273906,0.6,0.0,0.8125
city,0.02,B6_evspark_cover,B2_poi_density,bottom20_final_coverage,True,5,-0.06049023786041089,-0.06049023786041089,0.0004128312613537327,-0.20244915823657106,0.057214647374662295,0.6,0.0,0.8125
city,0.02,B6_evspark_cover,B2_poi_density,zone_jain,True,5,0.021931540441207976,0.021931540441207976,0.02335834369888165,0.013899537419991975,0.02974379133928719,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,zone_gini,False,5,-0.019600110391641,0.019600110391641,0.020191902539697493,0.012542060301558848,0.02662196555268719,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,mean_service_distance_km,False,5,-2.631202044891169,2.631202044891169,2.2882412221586614,1.323444040262281,4.29602387493116,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,p95_service_distance_km,False,5,-8.251515856686442,8.251515856686442,3.9399319355350366,3.523634891567292,13.912792303633264,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,redundancy_jaccard,False,5,-0.40084862093378104,0.40084862093378104,0.4933633651300011,0.22966610206474375,0.538203282646692,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B2_poi_density,runtime_seconds,False,5,0.12446608693330745,-0.12446608693330745,-0.04296594999990096,-0.2444736789999752,-0.024919042666685223,0.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,heldout_temporal_demand_capture,True,5,0.04465699748724028,0.04465699748724028,0.041473827764943245,0.013785426653260064,0.07552856832122051,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,normalized_heldout_capture,True,5,0.2716996660125176,0.2716996660125176,0.2704930693282904,0.1910697526463604,0.3523295793786748,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,heldout_recall_1km,True,5,0.046465110356285824,0.046465110356285824,0.04055104754985707,0.012517405857608771,0.08041281485496288,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,heldout_recall_2km,True,5,0.13914933794903978,0.13914933794903978,0.13215629728918735,0.06879238635519637,0.20892004341901044,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,heldout_top25_recall_2km,True,5,0.14486004537034286,0.14486004537034286,0.1,0.06389233954451345,0.23357000208029954,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,temporal_incremental_coverage,True,5,-0.008993406626951451,-0.008993406626951451,-0.007296387446496744,-0.04153644645648117,0.02593061092634023,0.2,0.0,0.4375
city,0.02,B6_evspark_cover,B3_temporal_rank,bottom20_final_coverage,True,5,-0.02777910943372101,-0.02777910943372101,0.023425511208557903,-0.16968837288027375,0.06364072052212781,0.8,0.0,0.625
city,0.02,B6_evspark_cover,B3_temporal_rank,zone_jain,True,5,0.022069861414103886,0.022069861414103886,0.023047881571971462,0.013519598256559084,0.02947462219647956,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,zone_gini,False,5,-0.019895171107706666,0.019895171107706666,0.020563504766221263,0.012585698283058,0.026479213204341722,1.0,0.0,0.0625
city,0.02,B6_evspark_cover,B3_temporal_rank,mean_service_distance_km,False,5,-2.482929308466715,2.482929308466715,1.508905726012201,1.195741191212532,4.280358924740828,1.0,0.0,0.0625
