partition_mode,block_seed,province,metric,oriented_improvement
kmeans,0,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,0,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,0,hochiminh,zone_gini,0.03794946766866943
kmeans,0,hochiminh,zone_jain,0.04266807710014873
kmeans,1,cantho,heldout_recall_2km,0.0326165203659217
kmeans,1,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,1,cantho,mean_service_distance_km,3.7748798691200016
kmeans,1,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,1,cantho,p95_service_distance_km,17.392219625965026
kmeans,1,cantho,redundancy_jaccard,0.3662674348264419
kmeans,1,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,1,cantho,zone_gini,0.04607809043108194
kmeans,1,cantho,zone_jain,0.05093622448969295
kmeans,1,danang,heldout_recall_2km,0.02981288859362614
kmeans,1,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,1,danang,mean_service_distance_km,2.265745942432203
kmeans,1,danang,normalized_heldout_capture,0.15784915663167937
kmeans,1,danang,p95_service_distance_km,11.75077213405424
kmeans,1,danang,redundancy_jaccard,0.16655664024301514
kmeans,1,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,1,danang,zone_gini,0.027186893189389123
kmeans,1,danang,zone_jain,0.030653447822059116
kmeans,1,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,1,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,1,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,1,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,1,haiphong,p95_service_distance_km,4.290980620699314
kmeans,1,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,1,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,1,haiphong,zone_gini,0.014508915736078857
kmeans,1,haiphong,zone_jain,0.015855576904629003
kmeans,1,hanoi,heldout_recall_2km,0.2878872633635114
kmeans,1,hanoi,heldout_temporal_demand_capture,0.12078165326434415
kmeans,1,hanoi,mean_service_distance_km,0.658863361874316
kmeans,1,hanoi,normalized_heldout_capture,0.5911746036429256
kmeans,1,hanoi,p95_service_distance_km,5.421762267971357
kmeans,1,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,1,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,1,hanoi,zone_gini,0.04448238359617659
kmeans,1,hanoi,zone_jain,0.04996648847436256
kmeans,1,hochiminh,heldout_recall_2km,0.2298160516106146
kmeans,1,hochiminh,heldout_temporal_demand_capture,0.11575709256272164
kmeans,1,hochiminh,mean_service_distance_km,2.625346167730649
kmeans,1,hochiminh,normalized_heldout_capture,0.32035046157025165
kmeans,1,hochiminh,p95_service_distance_km,6.801322033795152
kmeans,1,hochiminh,redundancy_jaccard,0.0027431809164314576
kmeans,1,hochiminh,temporal_incremental_coverage,0.020827479326545693
kmeans,1,hochiminh,zone_gini,0.03726422318870578
kmeans,1,hochiminh,zone_jain,0.041959793812343237
kmeans,2,cantho,heldout_recall_2km,0.0326165203659217
kmeans,2,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,2,cantho,mean_service_distance_km,3.7748798691200016
kmeans,2,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,2,cantho,p95_service_distance_km,17.392219625965026
kmeans,2,cantho,redundancy_jaccard,0.3662674348264419
kmeans,2,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,2,cantho,zone_gini,0.04607809043108194
kmeans,2,cantho,zone_jain,0.05093622448969295
kmeans,2,danang,heldout_recall_2km,0.02981288859362614
kmeans,2,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,2,danang,mean_service_distance_km,2.265745942432203
kmeans,2,danang,normalized_heldout_capture,0.15784915663167937
kmeans,2,danang,p95_service_distance_km,11.75077213405424
kmeans,2,danang,redundancy_jaccard,0.16655664024301514
kmeans,2,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,2,danang,zone_gini,0.027186893189389123
kmeans,2,danang,zone_jain,0.030653447822059116
kmeans,2,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,2,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,2,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,2,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,2,haiphong,p95_service_distance_km,4.290980620699314
kmeans,2,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,2,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,2,haiphong,zone_gini,0.014508915736078857
kmeans,2,haiphong,zone_jain,0.015855576904629003
kmeans,2,hanoi,heldout_recall_2km,0.2878872633635114
kmeans,2,hanoi,heldout_temporal_demand_capture,0.12078165326434415
kmeans,2,hanoi,mean_service_distance_km,0.658863361874316
kmeans,2,hanoi,normalized_heldout_capture,0.5911746036429256
kmeans,2,hanoi,p95_service_distance_km,5.421762267971357
kmeans,2,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,2,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,2,hanoi,zone_gini,0.04448238359617659
kmeans,2,hanoi,zone_jain,0.04996648847436256
kmeans,2,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,2,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,2,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,2,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,2,hochiminh,p95_service_distance_km,6.8117017591886935
kmeans,2,hochiminh,redundancy_jaccard,0.002621711494429378
kmeans,2,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,2,hochiminh,zone_gini,0.03794946766866943
kmeans,2,hochiminh,zone_jain,0.04266807710014873
kmeans,3,cantho,heldout_recall_2km,0.0326165203659217
kmeans,3,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,3,cantho,mean_service_distance_km,3.7748798691200016
kmeans,3,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,3,cantho,p95_service_distance_km,17.392219625965026
kmeans,3,cantho,redundancy_jaccard,0.3662674348264419
kmeans,3,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,3,cantho,zone_gini,0.04607809043108194
kmeans,3,cantho,zone_jain,0.05093622448969295
kmeans,3,danang,heldout_recall_2km,0.02981288859362614
kmeans,3,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,3,danang,mean_service_distance_km,2.265745942432203
kmeans,3,danang,normalized_heldout_capture,0.15784915663167937
kmeans,3,danang,p95_service_distance_km,11.75077213405424
kmeans,3,danang,redundancy_jaccard,0.16655664024301514
kmeans,3,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,3,danang,zone_gini,0.027186893189389123
kmeans,3,danang,zone_jain,0.030653447822059116
kmeans,3,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,3,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,3,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,3,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,3,haiphong,p95_service_distance_km,4.290980620699314
kmeans,3,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,3,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,3,haiphong,zone_gini,0.014508915736078857
kmeans,3,haiphong,zone_jain,0.015855576904629003
kmeans,3,hanoi,heldout_recall_2km,0.29112972630690476
kmeans,3,hanoi,heldout_temporal_demand_capture,0.12200488284489835
kmeans,3,hanoi,mean_service_distance_km,0.6570836487668597
kmeans,3,hanoi,normalized_heldout_capture,0.5911746036429255
kmeans,3,hanoi,p95_service_distance_km,5.372321234485002
kmeans,3,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,3,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,3,hanoi,zone_gini,0.04447899296143384
kmeans,3,hanoi,zone_jain,0.049976487887269085
kmeans,3,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,3,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
