metric,budget_fraction,method,city_count,mean,ci95_low,ci95_high
heldout_temporal_demand_capture,0.02,B1_random,5,0.02937791363961606,0.021132561952749394,0.039651084072461214
heldout_temporal_demand_capture,0.02,B2_poi_density,5,0.019964246624319774,0.010873866917594826,0.03277924109576031
heldout_temporal_demand_capture,0.02,B3_temporal_rank,5,0.02303469680314188,0.01636542755288945,0.029901911984756453
heldout_temporal_demand_capture,0.02,B4_weighted_spatial_diversity,5,0.011123806348335052,0.000185279910875,0.025448499722209944
heldout_temporal_demand_capture,0.02,B5_static_coverage,5,0.025321034498830837,0.014013942133472785,0.038603185464312316
heldout_temporal_demand_capture,0.02,B6_evspark_cover,5,0.06769169429038215,0.03866372285358688,0.0967196657271774
heldout_temporal_demand_capture,0.05,B1_random,5,0.05976136110594358,0.038501334354114215,0.08485436298865837
heldout_temporal_demand_capture,0.05,B2_poi_density,5,0.03412732613791877,0.02702951606149226,0.041598489504067256
heldout_temporal_demand_capture,0.05,B3_temporal_rank,5,0.036370975689338524,0.02902171471578447,0.04420091002660077
heldout_temporal_demand_capture,0.05,B4_weighted_spatial_diversity,5,0.040873571084544466,0.012379445698311455,0.06936769647077748
heldout_temporal_demand_capture,0.05,B5_static_coverage,5,0.05848158165815646,0.035324348970740355,0.081580728800304
heldout_temporal_demand_capture,0.05,B6_evspark_cover,5,0.12687484008498998,0.06941835294437187,0.18433132722560805
heldout_temporal_demand_capture,0.1,B1_random,5,0.10398285452638581,0.07345292968099404,0.14015776657631412
heldout_temporal_demand_capture,0.1,B2_poi_density,5,0.06457813329846036,0.04687514257350924,0.0841801550573831
heldout_temporal_demand_capture,0.1,B3_temporal_rank,5,0.06642453403657085,0.04845596651564428,0.08420047220420275
heldout_temporal_demand_capture,0.1,B4_weighted_spatial_diversity,5,0.07586734826263965,0.027950505671077493,0.1297788689591939
heldout_temporal_demand_capture,0.1,B5_static_coverage,5,0.11082460438933048,0.07444891178336763,0.1565020585500275
heldout_temporal_demand_capture,0.1,B6_evspark_cover,5,0.18168197812510636,0.1155492305829918,0.26172129958213397
normalized_heldout_capture,0.02,B1_random,5,0.07753142776878692,0.06877041214154091,0.09056818022949586
normalized_heldout_capture,0.02,B2_poi_density,5,0.04382202335832878,0.020988992385112315,0.07854839552635748
normalized_heldout_capture,0.02,B3_temporal_rank,5,0.05132902101102079,0.029808613126437476,0.07321677811684972
normalized_heldout_capture,0.02,B4_weighted_spatial_diversity,5,0.03068974716711061,0.000396872243593,0.06734557676629421
normalized_heldout_capture,0.02,B5_static_coverage,5,0.05250538800957809,0.029457231261580386,0.0755535447575758
normalized_heldout_capture,0.02,B6_evspark_cover,5,0.3230286870235384,0.22311647537032037,0.410902486624949
normalized_heldout_capture,0.05,B1_random,5,0.15758791150298523,0.1288095399916987,0.1955894936923274
normalized_heldout_capture,0.05,B2_poi_density,5,0.07331729698444255,0.05181813168277686,0.10045242957883245
normalized_heldout_capture,0.05,B3_temporal_rank,5,0.07953397089385653,0.05349706708932149,0.10853979213483704
normalized_heldout_capture,0.05,B4_weighted_spatial_diversity,5,0.1917399197240541,0.1496957419030029,0.23378409754510532
normalized_heldout_capture,0.05,B5_static_coverage,5,0.12244118137958208,0.0743348452366708,0.17054751752249336
normalized_heldout_capture,0.05,B6_evspark_cover,5,0.5090793734368568,0.35682064096544364,0.6565938243438952
normalized_heldout_capture,0.1,B1_random,5,0.28682471287011535,0.2530551637006158,0.3331505447062377
normalized_heldout_capture,0.1,B2_poi_density,5,0.13859252643192174,0.10042635143325877,0.17675870143058475
normalized_heldout_capture,0.1,B3_temporal_rank,5,0.14317782305598464,0.10147877987157575,0.179909821985674
normalized_heldout_capture,0.1,B4_weighted_spatial_diversity,5,0.29418387986692907,0.19944778282095502,0.40409726868598667
normalized_heldout_capture,0.1,B5_static_coverage,5,0.3082600604558073,0.21047740701403886,0.4215768691816656
normalized_heldout_capture,0.1,B6_evspark_cover,5,0.73565500182356,0.7012820503663497,0.76912872573549
