metric,conditions,median_improvement,min_improvement,max_improvement,direction_consistency
heldout_recall_2km,55,0.19238705357090322,-0.10098919038097372,0.29112972630690476,0.9818181818181818
heldout_temporal_demand_capture,55,0.08886552154448762,-0.08095983851034232,0.13530532998251585,0.8
mean_service_distance_km,55,2.265745942432203,0.6570836487668597,5.104960048545081,1.0
normalized_heldout_capture,55,0.33392906982620735,0.056343448790664184,0.6215641581363859,1.0
p95_service_distance_km,55,6.8117017591886935,3.9756107135429097,26.655692733256853,1.0
redundancy_jaccard,55,0.05955987361926479,0.002621711494429378,0.4221816096143392,1.0
temporal_incremental_coverage,55,-0.0023035360123629437,-0.08001392544401681,0.02101268162253499,0.4
zone_gini,55,0.03794946766866943,0.014508915736078857,0.06153877996277165,1.0
zone_jain,55,0.04266807710014873,0.015855576904629003,0.06784428211207728,1.0
