pair_unit,budget_fraction,reference,baseline,metric,higher_is_better,n_pairs,raw_reference_minus_baseline_mean,oriented_improvement_mean,oriented_improvement_median,bootstrap_ci95_low,bootstrap_ci95_high,win_share,tie_share,wilcoxon_p_two_sided
province_block,0.02,B6_evspark_cover,B1_random,heldout_temporal_demand_capture,True,15,0.038313780650766086,0.038313780650766086,0.025080702227924453,0.020143685915291247,0.05838597296353453,0.8,0.13333333333333333,0.004649433819808542
province_block,0.02,B6_evspark_cover,B1_random,normalized_heldout_capture,True,13,0.2552212340575623,0.2552212340575623,0.17922486088108344,0.1277520596393745,0.4032588908466834,0.9230769230769231,0.0,0.00048828125
province_block,0.02,B6_evspark_cover,B1_random,heldout_recall_1km,True,15,0.04018390321256852,0.04018390321256852,0.03475196038304493,0.01810838303922801,0.06423661973717087,0.8,0.13333333333333333,0.0057715890441035304
province_block,0.02,B6_evspark_cover,B1_random,heldout_recall_2km,True,15,0.09754198135517435,0.09754198135517435,0.028151859708733684,0.041640347413021944,0.15727557734828473,0.7333333333333333,0.13333333333333333,0.007132413699395206
province_block,0.02,B6_evspark_cover,B1_random,heldout_top25_recall_2km,True,15,0.10583052195706658,0.10583052195706658,0.042333333333333334,0.04193217872580001,0.17051223266499582,0.6,0.13333333333333333,0.02312980249735946
province_block,0.02,B6_evspark_cover,B1_random,temporal_incremental_coverage,True,15,0.03597632909747696,0.03597632909747696,0.041346706783035855,0.015945410830651107,0.05500193232531873,0.8,0.0,0.0042724609375
province_block,0.02,B6_evspark_cover,B1_random,bottom20_final_coverage,True,15,0.0484550779376689,0.0484550779376689,0.07144197775427433,0.01013398701270068,0.08361099811892671,0.8,0.0,0.0301513671875
province_block,0.02,B6_evspark_cover,B1_random,zone_jain,True,15,0.009683357484186896,0.009683357484186896,0.01259192290810962,0.002507403181750178,0.016187151812602,0.6666666666666666,0.0,0.02154541015625
province_block,0.02,B6_evspark_cover,B1_random,zone_gini,False,15,-0.008540465205861299,0.008540465205861299,0.011461056769926592,0.001849749905427584,0.014591592976889528,0.6666666666666666,0.0,0.03533935546875
province_block,0.02,B6_evspark_cover,B1_random,mean_service_distance_km,False,15,-1.0873855923589375,1.0873855923589375,0.6919151903340239,0.3465183676954866,1.870745524446915,0.8,0.0,0.012451171875
province_block,0.02,B6_evspark_cover,B1_random,p95_service_distance_km,False,15,-2.693293929829754,2.693293929829754,2.326714520722404,-0.4723717078746581,5.884352923610619,0.6,0.0,0.1688232421875
province_block,0.02,B6_evspark_cover,B1_random,redundancy_jaccard,False,15,0.13736277011654954,-0.13736277011654954,-0.09751987035428292,-0.21943288728035698,-0.07688362459244513,0.0,0.0,6.103515625e-05
province_block,0.02,B6_evspark_cover,B1_random,runtime_seconds,False,15,0.12486247695329238,-0.12486247695329238,-0.04147931970025335,-0.23174646833706464,-0.047940986904664244,0.0,0.0,6.103515625e-05
province_block,0.02,B6_evspark_cover,B2_poi_density,heldout_temporal_demand_capture,True,15,0.0477274476660624,0.0477274476660624,0.057176320781453314,0.024923490526596592,0.07205948064280744,0.7333333333333333,0.13333333333333333,0.0057715890441035304
province_block,0.02,B6_evspark_cover,B2_poi_density,normalized_heldout_capture,True,13,0.29452546467873275,0.29452546467873275,0.22468458340818367,0.1601409885402127,0.4492001144150962,0.8461538461538461,0.0,0.001220703125
province_block,0.02,B6_evspark_cover,B2_poi_density,heldout_recall_1km,True,15,0.05239186248296048,0.05239186248296048,0.06256028333879164,0.02692354655608954,0.07822859780387911,0.7333333333333333,0.2,0.004741768038406972
