province,budget_fraction,method,heldout_temporal_demand_capture,normalized_heldout_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,runtime_seconds,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_recall_1km,normalized_heldout_recall_2km
cantho,0.02,B1_random,0.02357982330838047,0.07697381934349187,0.023674334277438855,0.08091720203456115,0.09873015873015874,0.04113541159440535,0.06722567170399207,0.1912661849627915,0.8263023430795741,6.753021431517451,26.331365796607972,0.035901917630687785,0.0003318050555511339,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.07111570658558874,0.1528869552221049
cantho,0.02,B2_poi_density,0.04465845909347204,0.1109317369732861,0.04619650919667576,0.06750498242832137,0.09999999999999999,0.07622442090927133,0.10690310402731494,0.17494317519497882,0.8404849782275695,8.472193477708686,35.89172504699699,0.6325225738926153,0.000452613666614828,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.10812089065367912,0.11864857360464606
cantho,0.02,B3_temporal_rank,0.0331001173370386,0.08222078380563753,0.04619650919667576,0.08356574526915907,0.13333333333333333,0.06857923144041639,0.08389042408011077,0.175253637321889,0.8408565804540933,8.443819867316055,35.691402307266394,0.6441937292437722,0.0004621023335857899,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.10812089065367912,0.14687740255206932
cantho,0.02,B4_weighted_spatial_diversity,0.0,0.0,0.0,0.0,0.0,0.027965735173606007,0.027346488927856853,0.197292564639302,0.8203297997491292,7.025046396481403,20.04976304342628,0.0,0.0009694059999674209,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.0,0.0
cantho,0.02,B5_static_coverage,0.0331001173370386,0.08222078380563753,0.04619650919667576,0.08356574526915907,0.13333333333333333,0.06857923122895039,0.08389042404836478,0.17525363731003896,0.8408565804606086,8.443819867316055,35.691402307266394,0.6441937292437724,0.025243403999866132,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.10812089065367912,0.14687740255206932
cantho,0.02,B6_evspark_cover,0.039159945628823856,0.35271385313392795,0.049552117056995804,0.1754483024844978,0.22857142857142856,0.0617622774663438,0.10731593528866867,0.19830151889386047,0.820293075687872,5.703900795629494,23.110787276874024,0.3082984945432457,0.01915511833324975,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.24451242526763478,0.5096319192805423
cantho,0.05,B1_random,0.03520093102160891,0.1585897822118511,0.03944321616256901,0.118266609582222,0.12523809523809523,0.07943032239479836,0.11647795228833402,0.21661992939790645,0.8041534512110813,5.193955991781958,20.046935048938156,0.03788241676346681,0.0004275255888993949,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.1579961791356721,0.24436906876994752
cantho,0.05,B2_poi_density,0.04895416651908507,0.12160228620237835,0.04619650919667576,0.08898061529664499,0.13333333333333333,0.1200250143505518,0.20545973572285267,0.1819309469147661,0.8345446153599526,8.323639322247457,35.68130289683006,0.5542075839851797,0.0006227226667760988,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.10812089065367912,0.15639472382088
cantho,0.05,B3_temporal_rank,0.05079856148045394,0.126183768431785,0.04619650919667576,0.08898061529664499,0.13333333333333333,0.1177649198669753,0.19485611376919612,0.17942533393967586,0.8368618028822675,8.32689856177544,35.67353242845426,0.5315912827173214,0.0005222426666477986,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.10812089065367912,0.15639472382088
cantho,0.05,B4_weighted_spatial_diversity,0.005085344514873705,0.14716187802222952,0.0,0.055133209297867226,0.0,0.05011412362154858,0.045924979816107776,0.22128831191336518,0.7996686726907383,4.267286880275007,11.032147420541135,0.0,0.0018002386665709007,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.0,0.19599066815918975
cantho,0.05,B5_static_coverage,0.07424131194733835,0.18441562599050085,0.07068342764774715,0.16512776479230443,0.19999999999999998,0.11844349567201784,0.1957617776199024,0.18197833460515112,0.8345928569666977,8.238623417524108,35.691402307266394,0.49896634757047487,0.04913601033316203,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.16543144243200184,0.2902330028147762
cantho,0.05,B6_evspark_cover,0.06346577376852543,0.41308959803967643,0.059910532932478944,0.19774428515822615,0.22857142857142856,0.09743651745823245,0.1440402896160755,0.23291455909484404,0.7885147665356159,4.463743548404105,18.299182681301367,0.13269891274403295,0.030901725666656905,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.2687558404021064,0.5488199383895127
cantho,0.1,B1_random,0.07324414909266591,0.26173160028007814,0.08471593009352864,0.19040512734175372,0.203968253968254,0.14360921320346284,0.21586746775964819,0.2585437622327888,0.7676987727368773,4.052738514210152,16.095616169101277,0.037100302519492694,0.0005447265888859774,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.26823956383087455,0.37787031081309796
cantho,0.1,B2_poi_density,0.07638670360434395,0.189744784851569,0.08898061529664499,0.09841574133303393,0.13333333333333333,0.16008195398270939,0.2833283744595689,0.18874178070136924,0.8295298780474157,8.148445257868362,35.43473239703942,0.40189464314252527,0.0007654666668107287,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.20825520248352294,0.17297815523183227
cantho,0.1,B3_temporal_rank,0.07638670360434395,0.189744784851569,0.08898061529664499,0.09841574133303393,0.13333333333333333,0.15987863536441446,0.28301895223109025,0.18878272117810865,0.8294978820292599,8.148514694032519,35.43473239703942,0.40111707515891587,0.0005937749998944734,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.20825520248352294,0.17297815523183227
cantho,0.1,B4_weighted_spatial_diversity,0.03953204844203257,0.2327275866743406,0.038606912147850996,0.1280074587960125,0.09999999999999999,0.08861811287401407,0.07949250253045416,0.27028519296677667,0.7580674173238773,2.770696098159556,8.986022586476976,0.007734204793028322,0.0024230276667367434,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.09035777376690542,0.3240764100471317
cantho,0.1,B5_static_coverage,0.09553412179672742,0.49274746400380465,0.08482460104583223,0.2997937426484591,0.32857142857142857,0.17066555551094253,0.2437904846080299,0.21654355630032276,0.8048996606451896,5.467140360014859,24.53412513025241,0.20666173350485387,0.05191193233319306,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.327066117110547,0.7281848109187476
cantho,0.1,B6_evspark_cover,0.11017497174010647,0.6911892430235569,0.10412878784457523,0.31397471750005607,0.32857142857142857,0.1542569890096788,0.22577669155455637,0.3012850652724987,0.7288495153643835,2.543110982186816,9.629236952208746,0.055980558995890516,0.02783071600015319,0.2124894670567891,0.22593497409240562,0.4111201213113455,0.7149179976310629,0.772704462150926
danang,0.02,B1_random,0.02662734837878905,0.06932222282297434,0.031251911696314506,0.07911124647295663,0.08917874396135266,0.032296023531138036,0.03172984515436066,0.18431263127949524,0.835138542768696,6.417210536010241,32.481893009665335,0.026257868483807106,0.0004521961666392195,0.2422613557513289,0.271283941507836,0.31418155835261735,0.07323505308117581,0.1527600750370218
danang,0.02,B2_poi_density,0.018990645650453376,0.0406782371115236,0.02344803298176149,0.060537005921122045,0.07246376811594203,0.0477016730047096,0.07376234895584892,0.17369863754545636,0.8447486588750858,7.040997762955439,33.43028929053812,0.6834094265736187,0.0006827853333864672,0.2422613557513289,0.271283941507836,0.31418155835261735,0.04535858597796574,0.10751440586513149
danang,0.02,B3_temporal_rank,0.01318541116564483,0.028243341047028928,0.009502168289377787,0.053609900362767506,0.057971014492753624,0.11181563806601719,0.10051325105941171,0.18300033815824412,0.836590646002088,6.261662266808979,33.43028929053812,0.31366643420169765,0.0009332783332259472,0.2422613557513289,0.271283941507836,0.31418155835261735,0.018381282458366094,0.09521178819946854
danang,0.02,B4_weighted_spatial_diversity,0.0009263995543750047,0.001984361217965045,0.001514841962677249,0.001514841962677249,0.0,0.006213915479580843,0.002919486202838897,0.18343628909339804,0.8362132065358286,6.552643659610411,21.568850706383074,0.0,0.0021238410001084653,0.2422613557513289,0.271283941507836,0.31418155835261735,0.0029303562247874567,0.002690376425438442
danang,0.02,B5_static_coverage,0.016770003928335737,0.0359215904879852,0.02002632900029151,0.03510060587252285,0.043478260869565216,0.10017194010204533,0.11389266536406879,0.18137595072051774,0.8379477494629545,6.276155776701665,33.43028929053812,0.30910864237659447,0.046707131333278085,0.2422613557513289,0.271283941507836,0.31418155835261735,0.03873953804522975,0.06233907224958595
danang,0.02,B6_evspark_cover,0.020852235624538102,0.15816503510549995,0.017164551298151136,0.07206394195998231,0.07246376811594203,0.0940845416227667,0.12586243067627143,0.18948607491282266,0.8305309269836728,4.752756540796778,30.281426827560285,0.1900460614436176,0.043648735333287426,0.2422613557513289,0.271283941507836,0.31418155835261735,0.12501152152445477,0.21456137290613217
danang,0.05,B1_random,0.05203455542327263,0.1136228219944405,0.059132884592158604,0.13982272289233091,0.15004830917874395,0.0721987829048596,0.07114797671956534,0.20452347760106018,0.8170604446967366,5.577306574747811,31.136554978359992,0.026578755061530266,0.0004811336888855698,0.2422613557513289,0.271283941507836,0.31418155835261735,0.11438844494908493,0.2626952122292975
danang,0.05,B2_poi_density,0.03617898486239949,0.07749590781563422,0.04442062625122976,0.08139074126279217,0.10144927536231885,0.07919644736911893,0.10025299709303342,0.1770316253794579,0.8418052449909249,6.921753609782016,33.43028929053812,0.40684779522759856,0.0007031806665812231,0.2422613557513289,0.271283941507836,0.31418155835261735,0.0859286063175831,0.14455087523148433
danang,0.05,B3_temporal_rank,0.026477905694803804,0.05671605620444382,0.022233486640241787,0.08817817453235793,0.11594202898550725,0.15234407590401275,0.17010369564723024,0.18913343114226625,0.8310086243939162,6.085613810495741,33.43028929053812,0.25819506361250877,0.0008467033333848425,0.2422613557513289,0.271283941507836,0.31418155835261735,0.043009130708140095,0.15660543333562033
