budget_fraction,method,heldout_temporal_demand_capture__mean,heldout_temporal_demand_capture__std,heldout_temporal_demand_capture__median,normalized_heldout_capture__mean,normalized_heldout_capture__std,normalized_heldout_capture__median,heldout_recall_1km__mean,heldout_recall_1km__std,heldout_recall_1km__median,heldout_recall_2km__mean,heldout_recall_2km__std,heldout_recall_2km__median,heldout_top25_recall_2km__mean,heldout_top25_recall_2km__std,heldout_top25_recall_2km__median,temporal_incremental_coverage__mean,temporal_incremental_coverage__std,temporal_incremental_coverage__median,bottom20_final_coverage__mean,bottom20_final_coverage__std,bottom20_final_coverage__median,zone_jain__mean,zone_jain__std,zone_jain__median,zone_gini__mean,zone_gini__std,zone_gini__median,mean_service_distance_km__mean,mean_service_distance_km__std,mean_service_distance_km__median,p95_service_distance_km__mean,p95_service_distance_km__std,p95_service_distance_km__median,redundancy_jaccard__mean,redundancy_jaccard__std,redundancy_jaccard__median,runtime_seconds__mean,runtime_seconds__std,runtime_seconds__median,candidate_availability_capture_upper_bound__mean,candidate_availability_capture_upper_bound__std,candidate_availability_capture_upper_bound__median,candidate_availability_recall_1km_upper_bound__mean,candidate_availability_recall_1km_upper_bound__std,candidate_availability_recall_1km_upper_bound__median,candidate_availability_recall_2km_upper_bound__mean,candidate_availability_recall_2km_upper_bound__std,candidate_availability_recall_2km_upper_bound__median,normalized_heldout_recall_1km__mean,normalized_heldout_recall_1km__std,normalized_heldout_recall_1km__median,normalized_heldout_recall_2km__mean,normalized_heldout_recall_2km__std,normalized_heldout_recall_2km__median
0.02,B1_random,0.029377913639616105,0.03303269414707778,0.016621895723208366,0.07820579802810294,0.042189855663807535,0.08080672147108063,0.03201615334121005,0.03631885542499421,0.018409929404773654,0.08967723856462816,0.10228435042778317,0.02287591204979327,0.09524277393087462,0.11275776379528121,0.023333333333333334,0.04259418623262909,0.024769765825978736,0.0379703601891019,0.06360488619293388,0.047709854750203264,0.054323593311230906,0.24832468750489808,0.09147018013264067,0.24712334449480797,0.7771941194576489,0.08088421949658665,0.7760772783916196,4.899172464852331,2.254996738183747,3.953126473307699,18.438434377128154,11.570002743127247,15.059669635319315,0.02537455091974773,0.009828831603395564,0.02538422108365416,0.0005385005133201856,0.00026448925675383214,0.00047376676664801686,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.07721749039472625,0.039757411548104124,0.07033034569154527,0.14501269785552212,0.10854065159167152,0.10971023559793279
0.02,B2_poi_density,0.019964246624319785,0.03748811556589113,0.0,0.03890156740693247,0.06494468641811489,0.0,0.019808194070818075,0.0403128802727064,0.0,0.04193506080163198,0.07008495996199687,0.0,0.050587991718426505,0.09214656277242787,0.0,0.06670003078903648,0.045957878742487523,0.06468248129260869,0.17255020199101365,0.17620747160588485,0.16457983337053791,0.236076504547877,0.0934715499296817,0.23881699633190492,0.7882537646434286,0.08264833375073774,0.7868051236218667,6.442988917384564,4.126859257976298,5.129884487261073,23.99665630398484,15.534773536055305,17.845494760123433,0.5635859419700783,0.16826197424524578,0.6138837334084927,0.0009348905333051032,0.0005507908138694572,0.0007434550002471951,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.03363076509142205,0.0645575380505483,0.0,0.06088045227028777,0.09097368464304051,0.0
0.02,B3_temporal_rank,0.023034696803141904,0.03660848651425658,0.0,0.050728553100972754,0.08064191071881613,0.0,0.025734946197492746,0.043635606621891546,0.0,0.04806988197076272,0.07944218155065311,0.0,0.05621325051759835,0.10928950494021034,0.0,0.08756392195705748,0.04831643795037078,0.09220394444436518,0.1398390735643238,0.17165811030896186,0.047427830391562155,0.2359381835749811,0.09191067093793841,0.23912309125238904,0.7885488253594943,0.08143258076961828,0.7834893728729466,6.294716180960108,4.1127069024556,5.007639848956837,24.212721137101948,15.35908548447892,18.195400664653324,0.4507142843213828,0.14487176373560637,0.4723188853676836,0.0016386228667215619,0.0013483864816628281,0.0009254259998670022,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.04913026589725373,0.07838029353342202,0.0,0.07032687336935133,0.1047798893363114,0.0
0.02,B4_weighted_spatial_diversity,0.011123806348335078,0.01971998611612535,0.0,0.0352586035606688,0.054379344434841645,0.00396872243593009,0.012759941773131618,0.026728229014274754,0.0,0.038606191506919706,0.05858154008334601,0.0,0.031896445659603555,0.050653094591227014,0.0,0.01541628343434705,0.00877172564548437,0.01327371091979423,0.017807357881345055,0.01420722423760088,0.012451148348715389,0.2536553724526754,0.0975421063074292,0.25196240534359277,0.7728112266566497,0.08638752951803035,0.7755034058148074,4.729936152770389,3.2243558300931228,3.3703617401485726,14.330640290372605,8.155182152177165,13.517397987319429,0.0,0.0,0.0,0.0041618293333461525,0.004729176855732331,0.002202309000040259,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.03591161819224678,0.06108385347227977,0.0058607124495749134,0.07946813215737734,0.12067470670208079,0.005380752850876884
0.02,B5_static_coverage,0.025321034498830844,0.03623403568989651,0.0,0.051495265065388374,0.06379905423308369,0.0,0.02847011136183726,0.045943932897160165,0.0,0.06473588040863895,0.08918616565495543,0.0,0.07965669113495201,0.12185116514899842,0.0,0.08235938178947592,0.0527150045839954,0.0827547551096965,0.1723731031359509,0.1513052154813977,0.1615965949117589,0.24087625077565342,0.09190676566120523,0.23912309124339848,0.7840702216418651,0.08137020541369927,0.7834893728792687,5.448949745291234,2.765248256693773,4.791829477481809,21.711212635361914,14.122338704873833,17.845494760123433,0.29522578605164596,0.1954621946678883,0.24548443597853456,0.1927300621333264,0.22382779821854404,0.03365941299989572,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.050136447984191694,0.07333543067901128,0.0,0.09490041829818763,0.1143242386458047,0.0
0.02,B6_evspark_cover,0.06769169429038219,0.0449073752716499,0.09193897037536339,0.3334270320856652,0.23925924974994914,0.23592951826529798,0.07220005655377856,0.0528579706247594,0.08406940938884881,0.1872192199198025,0.11999824393166793,0.24106473108123735,0.2010732958879412,0.146095356308082,0.21739130434782608,0.07857051533010603,0.05610652198348861,0.06532815676704663,0.11205996413060278,0.08090161744391194,0.08461598347905758,0.258008044989085,0.10212511713672996,0.25369142772433106,0.7686536542517876,0.09044400493325094,0.7740393417774725,3.8117868724933937,2.353611418072623,3.944645771635854,15.7451404472984,12.35626780954344,11.22010400583764,0.1627373210362972,0.1518897163836413,0.12290409143793708,0.12540097746661255,0.1950762826065332,0.041850033000173426,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.2996689181317907,0.23026548332911012,0.21624178130735824,0.4118785092641773,0.2384937989325916,0.3157535392876086
0.05,B1_random,0.05976136110594363,0.06591358039059804,0.017679018252994057,0.16089277448757594,0.08899263459251101,0.1664928798162015,0.06645376766691759,0.07472191568288658,0.019243908431727956,0.16192135538507085,0.16841222738104122,0.053137361025386805,0.16830231012313393,0.17962655273261746,0.05416666666666667,0.0910399431649483,0.05207108651978441,0.07570044228696231,0.1337574823780839,0.10550374017163754,0.09767056219895516,0.27341970779921176,0.08630651832464699,0.2737600911282806,0.7551130673266436,0.07636285227829365,0.7535847318353389,3.8809649621951414,1.741618018608101,3.328874884148666,15.43146417421528,10.498060296049296,12.374087997729799,0.02650789351423394,0.008999893500629534,0.02760131920799551,0.0007134383089083309,0.0003775382442150672,0.0005204320000151105,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.15725452249151978,0.08861385446288744,0.15619872298700954,0.2686664916424055,0.17623667121383393,0.2925044752182193
0.05,B2_poi_density,0.03412732613791879,0.05247156521395263,0.0,0.06928163544220199,0.09500192999818982,0.0,0.037334140029230224,0.056308527500491264,0.0,0.06406479632404749,0.09921211310345175,0.0,0.07809937888198758,0.13071629485107578,0.0,0.10142577459411094,0.064362880988132,0.10054985923276191,0.22381044173342884,0.18565322880491944,0.2172932628963875,0.2405159708183019,0.08986846830391582,0.23953332376498093,0.784414670450881,0.07960666597278895,0.786155892260838,6.267383914738328,4.144789025219048,4.963960709498601,23.801125652550247,15.603391613597354,17.845494760123433,0.3488046787938616,0.12602440143757718,0.29985015650154445,0.0011088053999628756,0.000662555429707636,0.0008126460002131353,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.06676407415596575,0.08938292502100317,0.0,0.09256595698020095,0.12796965663016216,0.0
0.05,B3_temporal_rank,0.03637097568933854,0.055170733839240094,0.0,0.07770074913627839,0.11272363731927282,0.0,0.035710847226654505,0.05366117553988744,0.0,0.06865129856561909,0.10359648517284693,0.0,0.08218840579710145,0.1367698734724685,0.0,0.13049292160871137,0.06259419757006258,0.12563181085350986,0.20301734959258413,0.1902823761108086,0.13569115420702998,0.2409658459024551,0.0882516828307178,0.2420136805844312,0.7840659039811702,0.07815996986024863,0.781021035708519,5.609836537041458,2.9499719737501775,4.965035016343794,23.19648460351351,14.342195516479304,17.897174291708527,0.2950778277021076,0.12436716152676112,0.2567025805469411,0.0019341687999713032,0.001717375974327955,0.0008088930003395944,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.06710006312088998,0.09501024149728418,0.0,0.10009551814783299,0.1355616784144329,0.0
0.05,B4_weighted_spatial_diversity,0.040873571084544494,0.04803449004590155,0.009574379498326967,0.20010738044989917,0.1989087000972301,0.18186472985628277,0.040230871105439533,0.050518621723989264,0.009089622908308654,0.12427740456453579,0.12121842187131136,0.1092694022913867,0.10367030223780796,0.11151878377110347,0.125,0.03577243350058802,0.016059515376507266,0.03699194482111696,0.040673577477028336,0.025911140071260427,0.02311117618013873,0.28506991287526456,0.09952159561983136,0.2800119898148165,0.7448939959088915,0.08811807317963201,0.7471585951540711,3.19115763332379,2.02875387746408,2.5574179247476105,8.936393841849823,4.57496628324554,8.053425368117914,0.0005120919890316304,0.001642750198604866,0.0,0.009401786599967939,0.011046305098220069,0.0030916690002413816,0.28974848300084266,0.24905764640948735,0.20779702485184587,0.32382933241539374,0.277815044161967,0.22449942335547926,0.48121303390919695,0.3083975625728993,0.4965311787213018,0.15884120885448455,0.18033392916879595,0.0943798674545198,0.2788212829851058,0.21530479376065825,0.19352629869074298
