metric,higher_is_better,b5,b6,absolute_b6_minus_b5,relative_change_percent
heldout_temporal_demand_capture,True,0.0584815816581564,0.12687484008499,0.06839325842683361,116.94837329373999
normalized_heldout_capture,True,0.1215800754798838,0.5379685179551351,0.4163884424752513,342.4808224771341
heldout_recall_2km,True,0.1357771860904298,0.2926377180903255,0.15686053199989572,115.5279001689347
temporal_incremental_coverage,True,0.1365253467797229,0.1231182913432229,-0.01340705543649999,-9.820195115880885
zone_jain,True,0.2544881131881681,0.2925040761463466,0.038015962958178495,14.938207714998528
zone_gini,False,0.7720263103222682,0.737985160197989,-0.03404115012427922,-4.4093251316817526
mean_service_distance_km,False,4.977572469821969,2.8810919371270223,-2.096480532694947,-42.11853359052168
p95_service_distance_km,False,20.973426064720048,11.83993878314432,-9.133487281575729,-43.54790320566163
redundancy_jaccard,False,0.2082440811727136,0.0820431281339209,-0.1262009530387927,-60.60242016363387
bottom20_final_coverage,True,0.2502024575907177,0.1708303977019181,-0.07937205988879958,-31.723133598599397
runtime_seconds,False,0.0687533729997085,0.0612727530001393,-0.007480619999569206,-10.88036800680618
