variant,heldout_temporal_demand_capture__mean,heldout_temporal_demand_capture__std,heldout_temporal_demand_capture__median,normalized_heldout_capture__mean,normalized_heldout_capture__std,normalized_heldout_capture__median,temporal_incremental_coverage__mean,temporal_incremental_coverage__std,temporal_incremental_coverage__median,bottom20_final_coverage__mean,bottom20_final_coverage__std,bottom20_final_coverage__median,zone_jain__mean,zone_jain__std,zone_jain__median,zone_gini__mean,zone_gini__std,zone_gini__median,mean_service_distance_km__mean,mean_service_distance_km__std,mean_service_distance_km__median,p95_service_distance_km__mean,p95_service_distance_km__std,p95_service_distance_km__median,redundancy_jaccard__mean,redundancy_jaccard__std,redundancy_jaccard__median,runtime_seconds__mean,runtime_seconds__std,runtime_seconds__median
A1_no_temporal,0.12687484008499,0.08605423637421714,0.15622515303237966,0.5379685179551351,0.26724293569190904,0.5409861386565809,0.12311829134322294,0.08667382028780145,0.1031573316887869,0.17083039770191816,0.11294671935997125,0.15891844480829942,0.2925040761463466,0.10743054325075634,0.2895021347938257,0.737985160197989,0.09497379218025698,0.7416058850882046,2.8810919371270223,1.937638754756066,2.1949042341579514,11.839938783144321,9.522509622948046,7.192547097413856,0.08204312813392091,0.08772295645035404,0.050899159034742666,0.17635555333329953,0.29861156049051557,0.059455771000102686
A2_no_existing_network,0.06326749550201345,0.07347668548027633,0.01817948487535579,0.19526940492574876,0.1639762725038666,0.23383354930034672,0.1534765791338633,0.06839731034932832,0.15432484944598948,0.19137078669016983,0.15945157978916646,0.16464645347203186,0.26018271834868406,0.08730685665755267,0.25890330410692436,0.7667465415412341,0.07743312086278083,0.7673187970530015,4.0580739481426065,1.5961794185752105,4.177110735591699,17.188494270055706,10.02227051722673,14.371681551081371,0.13764179223391132,0.09375368201114472,0.11617249237988435,0.33508476306669766,0.37813826474879825,0.0753999839998869
A3_no_equity,0.11230067993259206,0.08572775462210024,0.1188622913002749,0.45135434416443465,0.23731634550907413,0.3423936026401513,0.15051263528680264,0.07009328831172497,0.1335780752302925,0.2477305788272001,0.14152012680634843,0.23261433867238268,0.29083340552586956,0.10706980694657396,0.2758504912275531,0.739797220473299,0.09470857235454866,0.7508669406504402,3.1722685968278386,1.9706977065756617,2.653140834076363,14.191986034371947,11.853677387200392,7.523783532283787,0.08656997084987154,0.0873585050077403,0.059804571770165925,0.17514822273327202,0.23158297031079025,0.05273686600003202
A4_no_local_search,0.12687484008499,0.08605423637421714,0.15622515303237966,0.5379685179551351,0.26724293569190904,0.5409861386565809,0.12311829134322294,0.08667382028780145,0.1031573316887869,0.17083039770191816,0.11294671935997125,0.15891844480829942,0.2925040761463466,0.10743054325075634,0.2895021347938257,0.737985160197989,0.09497379218025698,0.7416058850882046,2.8810919371270223,1.937638754756066,2.1949042341579514,11.839938783144321,9.522509622948046,7.192547097413856,0.08204312813392091,0.08772295645035404,0.050899159034742666,0.1611671865332331,0.23647345136986633,0.07322579999981826
Full,0.12687484008499,0.08605423637421714,0.15622515303237966,0.5379685179551351,0.26724293569190904,0.5409861386565809,0.12311829134322294,0.08667382028780145,0.1031573316887869,0.17083039770191816,0.11294671935997125,0.15891844480829942,0.2925040761463466,0.10743054325075634,0.2895021347938257,0.737985160197989,0.09497379218025698,0.7416058850882046,2.8810919371270223,1.937638754756066,2.1949042341579514,11.839938783144321,9.522509622948046,7.192547097413856,0.08204312813392091,0.08772295645035404,0.050899159034742666,0.1645597025999147,0.2424795276722911,0.08013756999980615
