province,block_id,budget_fraction,method,heldout_temporal_demand_capture,normalized_heldout_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,runtime_seconds,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_recall_1km,normalized_heldout_recall_2km
cantho,0,0.02,B1_random,0.001309617583361175,0.038971674081907076,0.00123013787835799,0.01460653622399829,0.009523809523809523,0.0379703601891019,0.054323593311230906,0.20251724712398517,0.8145476380551773,8.415776741028047,36.224191741556496,0.04216771059125269,0.0003187138666817191,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.03333333333333333,0.03844463446669577
cantho,0,0.02,B2_poi_density,0.0,0.0,0.0,0.0,0.0,0.06468248129260869,0.04318192930759432,0.18397856912881222,0.8305689227630821,11.57077649292372,52.599729445028125,0.6138837334084927,0.0004544180001175846,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.02,B3_temporal_rank,0.0,0.0,0.0,0.0,0.0,0.05548662727691907,0.021978876744509896,0.18447631117202862,0.8306786221499571,11.58623491541239,52.599729445028125,0.6441937292437722,0.000394553000205633,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.02,B4_weighted_spatial_diversity,0.0,0.0,0.0,0.0,0.0,0.027957248531617383,0.03091882394224682,0.21212225656349193,0.8051973361946305,6.826905034155078,27.35381795434199,0.0,0.0009138669997810211,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.02,B5_static_coverage,0.0,0.0,0.0,0.0,0.0,0.055486627121997895,0.02197887669587925,0.18447631116551913,0.8306786221535745,11.58623491541239,52.599729445028125,0.6441937292437724,0.025010820999796124,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.02,B6_evspark_cover,0.01817948487535579,0.5409861386565809,0.010066823580960107,0.2756476716460161,0.2857142857142857,0.05133140364397386,0.06788761135620769,0.2242335441973995,0.7955127576960597,4.240506519499139,17.888730582284612,0.14035087719298245,0.01426839799978552,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.27278306922791135,0.725509033456946
cantho,0,0.05,B1_random,0.005063727345292572,0.15068668460750068,0.005144007033693939,0.049991617365528276,0.019047619047619046,0.07570044228696231,0.09767056219895516,0.22580138217577989,0.7945242266419871,5.975142644184178,25.583091339315022,0.039820517549065654,0.0003674159333513671,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.1393883597438755,0.13157872794365788
cantho,0,0.05,B2_poi_density,0.0,0.0,0.0,0.0,0.0,0.10054985923276191,0.12807998908560347,0.18904178261709376,0.8264870538431595,11.50091191502306,52.599729445028125,0.5527214188303237,0.0004660130002775986,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.05,B3_temporal_rank,0.0,0.0,0.0,0.0,0.0,0.09728025847737086,0.11538823836557913,0.1865370154656306,0.8288174658284524,11.50840931434399,52.599729445028125,0.5274647194765455,0.0004458429998521751,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.05,B4_weighted_spatial_diversity,0.009574379498326967,0.28491492637693716,0.0,0.13571110230415304,0.0,0.05294344431943449,0.06482809888657944,0.241336189228836,0.7801165856897048,3.253848136957002,11.24729699901023,0.0,0.0015535799998360744,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.3571937686762093
cantho,0,0.05,B5_static_coverage,0.0,0.0,0.0,0.0,0.0,0.09728025862179451,0.11538823836557913,0.1865370154530805,0.8288174658392866,11.50840931434399,52.599729445028125,0.5274647194765455,0.03690994899989164,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
cantho,0,0.05,B6_evspark_cover,0.01817948487535579,0.5409861386565809,0.010066823580960107,0.2756476716460161,0.2857142857142857,0.0670578404283459,0.08532299218517014,0.2585385306445073,0.7630895092911221,3.4454208942893665,13.634155601518637,0.03007518796992481,0.016003983999780758,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.27278306922791135,0.725509033456946
cantho,0,0.1,B1_random,0.005678796837538569,0.168989957329309,0.005479567819725943,0.05917987308706215,0.02857142857142857,0.12626742540538666,0.16726212914994973,0.2617497294859234,0.7640470515600346,5.033079541645831,22.273776879418783,0.035368795353330894,0.0004864232333905723,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.14848112871813923,0.15576236239222274
cantho,0,0.1,B2_poi_density,0.0,0.0,0.0,0.0,0.0,0.13190187378760174,0.18926746017715543,0.19137096909391713,0.8254764830211114,11.453813088846381,52.599729445028125,0.40748639193276304,0.0007449260001521907,0.033604345058637755,0.0369041363507397,0.37993692557154624,0.0,0.0
