run_key,status,province,block_id,budget_fraction,budget_k,method,candidate_count,hidden_stations,robustness_family,partition_mode,block_seed,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds,swaps,local_evaluations
0|kmeans|block_partition|hanoi|0|B5_static_coverage,ok,hanoi,0,0.05,32,B5_static_coverage,631,75,block_partition,kmeans,0,32,0.0015319563413686457,0.13961411514231636,0.48592099713815634,0.36967595495614153,0.6702837328866307,1.5669822630161516,5.438249740528249,0.07502223684052774,0.5333075322818357,0.0,0.0,0.0,0.0,21.027969570328132,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.0,0.0,0.0,3653,32,True,True,True,True,True,True,True,True,0.5333075322818357,0.2732813175434347,0.5968256030000703,,
0|kmeans|block_partition|hanoi|0|B6_evspark_cover,ok,hanoi,0,0.05,32,B6_evspark_cover,631,75,block_partition,kmeans,0,32,0.2685545240484134,0.025525921564253668,0.06662270463068908,0.4413409573955262,0.607006755042633,0.9873934303877915,2.3310815106185565,0.02947262949484621,0.5468427458034067,0.18553438693297913,0.20786920861084288,0.3492502320127517,0.21052631578947367,3.8918197384418636,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.8928635386635615,0.9259231293511895,0.9282524306017542,715,32,True,True,True,True,True,True,True,True,0.5468427458034067,0.7964293735622842,0.08965953699998863,0.0,0.0
0|kmeans|block_partition|hanoi|1|B5_static_coverage,ok,hanoi,1,0.05,32,B5_static_coverage,631,61,block_partition,kmeans,0,32,0.0015130270730855406,0.13961411514231636,0.508915472895587,0.4277552854247141,0.6188042250692884,1.9544638235458447,11.34418032327435,0.07502223684052774,0.5333075322818357,0.0,0.0,0.0,0.0,25.59292650804899,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.0,0.0,0.0,3653,32,True,True,True,True,True,True,True,True,0.5333075322818357,0.2732813175434347,0.5821715040001436,,
0|kmeans|block_partition|hanoi|1|B6_evspark_cover,ok,hanoi,1,0.05,32,B6_evspark_cover,631,61,block_partition,kmeans,0,32,0.29849746145333,0.026262677247104613,0.05611403953962095,0.5085674905996913,0.5476844993807695,0.9666326691487649,2.2366762783507093,0.018877289078399917,0.8230363822913537,0.17007208580954858,0.17661157728988094,0.4604711407094054,0.6875,3.399052308717841,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.8694545406425118,0.8684337860493155,0.9273760852143053,706,32,True,True,True,True,True,True,True,True,0.8230363822913537,0.5349942717925547,0.09184859700008019,0.0,0.0
0|kmeans|block_partition|hanoi|2|B5_static_coverage,ok,hanoi,2,0.05,36,B5_static_coverage,719,224,block_partition,kmeans,0,36,0.6212395762942567,0.337440903126092,0.437354793760685,0.27285553963581305,0.75398060953593,2.299129739088353,10.131288678115846,0.06996664779726915,0.5403140491225615,0.19215561356194927,0.22381423492813773,0.4022864480791581,0.375,6.765052790494835,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3195441675902399,0.3346597703720328,0.48405405701181625,4391,36,True,True,True,True,True,True,True,True,0.5403140491225615,3.142293708139493,0.7080044179997458,,
0|kmeans|block_partition|hanoi|2|B6_evspark_cover,ok,hanoi,2,0.05,36,B6_evspark_cover,719,224,block_partition,kmeans,0,36,0.6306488760031429,0.324838758267316,0.40244240804057574,0.27027779744453884,0.7549301622799169,1.8899596404908448,6.080674149035105,0.06366388787264074,0.5069970206826645,0.198894100612454,0.2327747212678773,0.4562268654475351,0.4642857142857143,5.007307685982397,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3307498992129435,0.34805799904967616,0.5489582514949867,4417,36,True,True,True,True,True,True,True,True,0.5069970206826645,5.634083405707175,0.7464878010000575,0.0,0.0
0|kmeans|block_partition|hochiminh|0|B5_static_coverage,ok,hochiminh,0,0.05,55,B5_static_coverage,1087,397,block_partition,kmeans,0,55,0.4152524554302246,0.2117995242719002,0.27840910259638685,0.2555262516477406,0.7700368752294273,3.8603014185949203,6.832857818579551,0.029335693811807655,0.500888527841632,0.1578548861241628,0.16235827623667043,0.36487511023922536,0.43,4.928743751519602,0.5980611778970086,0.6808458512987448,0.8676135006015044,0.263944378866449,0.23846554389215202,0.42055029109881586,4821,55,True,True,True,True,True,True,True,True,0.500888527841632,0.25568673924019586,0.6871084489998793,,
0|kmeans|block_partition|hochiminh|0|B6_evspark_cover,ok,hochiminh,0,0.05,55,B6_evspark_cover,1087,397,block_partition,kmeans,0,55,0.5022063269033092,0.21672198909372553,0.31416253105159764,0.27734649608668777,0.749521115991749,1.6342314167325822,4.935047833922207,0.03283659200876489,0.500888527841632,0.20639344955326067,0.2285563687599122,0.441770797196761,0.54,3.6634806266270954,0.5980611778970086,0.6808458512987448,0.8676135006015044,0.3451042421429391,0.3356947366631234,0.5091792565358739,5342,55,True,True,True,True,True,True,True,True,0.500888527841632,0.9248627652430644,0.7556931429999167,0.0,0.0
0|kmeans|block_partition|hochiminh|1|B5_static_coverage,ok,hochiminh,1,0.05,49,B5_static_coverage,969,86,block_partition,kmeans,0,49,0.30029201369474784,0.12225416124503574,0.1715846771959155,0.34392462432931376,0.6933105056811824,4.175793459810421,13.668544516182692,0.03437365333202691,0.5074513588401441,0.12915334962009653,0.14966934802781676,0.2993477521343337,0.3181818181818182,6.878008518902976,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.28114686152444884,0.2878584467050723,0.42425430241731577,3935,49,True,True,True,True,True,True,True,True,0.5074513588401441,0.2621537355367528,0.5230711629997131,,
0|kmeans|block_partition|hochiminh|1|B6_evspark_cover,ok,hochiminh,1,0.05,49,B6_evspark_cover,969,86,block_partition,kmeans,0,49,0.5039523938539496,0.1757537245695463,0.26599871724130114,0.38923983012582397,0.6535916892863396,1.5604808363287432,6.760231890534339,0.03546178421873907,0.537514407506252,0.27264260919566885,0.3077870916420704,0.5171030036843696,0.45454545454545453,3.4578107413010155,0.4593803712401222,0.5199407894435062,0.7055856603662245,0.5935007811928389,0.5919656581886865,0.7328706246892467,1663,49,True,True,True,True,True,True,True,True,0.537514407506252,2.8650189890318716,0.19499313999995138,0.0,0.0
