run_key,status,fold,province,block_id,equity_lambda,dmin,dexisting,candidate_count,hidden_stations,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
equity|1|hue|0|0.0|0.25|0.25,ok,1,hue,0,0.0,0.25,0.25,58,14,3,3,0.05845078199290399,0.0706758674749067,0.03009804803438119,0.14931210969911968,0.8623389597290203,3.171852868158129,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,15.058281559923005,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,64,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,1.1253093682260604,0.007456537999814827
equity|1|hue|0|0.0|0.25|0.5,ok,1,hue,0,0.0,0.25,0.5,56,14,3,3,0.05845078199290399,0.0706758674749067,0.03009804803438119,0.14931210969911968,0.8623389597290203,3.171852868158129,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,15.058281559923005,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,62,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,1.1253093682260604,0.007189588999835905
equity|1|hue|0|0.0|0.25|1.0,ok,1,hue,0,0.0,0.25,1.0,43,14,3,3,0.05845078199290399,0.0706758674749067,0.03009804803438119,0.14931210969911968,0.8623389597290203,3.171852868158129,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,15.058281559923005,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,49,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,1.1253093682260604,0.005577672000072198
equity|1|hue|0|0.0|0.5|0.25,ok,1,hue,0,0.0,0.5,0.25,58,14,3,3,0.05845078199290399,0.0706758674749067,0.03009804803438119,0.14931210969911968,0.8623389597290203,3.171852868158129,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,15.058281559923005,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,63,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,1.1253093682260604,0.008151965000024575
equity|1|hue|0|0.0|0.5|0.5,ok,1,hue,0,0.0,0.5,0.5,56,14,3,3,0.05845078199290399,0.0706758674749067,0.03009804803438119,0.14931210969911968,0.8623389597290203,3.171852868158129,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,15.058281559923005,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,61,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,1.1253093682260604,0.007083747000024232
equity|1|hue|0|0.0|0.5|1.0,ok,1,hue,0,0.0,0.5,1.0,43,14,3,3,0.05845078199290399,0.0706758674749067,0.03009804803438119,0.14931210969911968,0.8623389597290203,3.171852868158129,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,15.058281559923005,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,48,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,1.1253093682260604,0.0053814160000911215
equity|1|hue|0|0.0|1.0|0.25,ok,1,hue,0,0.0,1.0,0.25,58,14,3,3,0.057942025046606574,0.08643037059539291,0.019691566735660825,0.15623838986313074,0.8568661910827404,3.1546745746790146,12.12289291122883,0.0,11.271828303571445,0.005899041443131904,0.0,0.0684866390469188,0.0,13.184271238732595,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,61,3,0,0,True,True,True,True,True,True,True,True,11.271828303571445,0.6354549299986959,0.007408352999846102
equity|1|hue|0|0.0|1.0|0.5,ok,1,hue,0,0.0,1.0,0.5,56,14,3,3,0.057942025046606574,0.08643037059539291,0.019691566735660825,0.15623838986313074,0.8568661910827404,3.1546745746790146,12.12289291122883,0.0,11.271828303571445,0.005899041443131904,0.0,0.0684866390469188,0.0,13.184271238732595,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,59,3,0,0,True,True,True,True,True,True,True,True,11.271828303571445,0.6354549299986959,0.009571275000098467
equity|1|hue|0|0.0|1.0|1.0,ok,1,hue,0,0.0,1.0,1.0,43,14,3,3,0.05767723306197047,0.084827708882866,0.019857397852944707,0.15575866631506066,0.8578611974568455,3.158395594908419,12.12289291122883,0.0,11.20425073605114,0.005899041443131904,0.0,0.0684866390469188,0.0,12.978527216890063,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,46,3,0,0,True,True,True,True,True,True,True,True,11.20425073605114,1.0291143513511467,0.006149847999949998
equity|1|hue|0|0.5|0.25|0.25,ok,1,hue,0,0.5,0.25,0.25,58,14,3,3,0.08377808355493414,0.06511409207653296,0.06497654406071637,0.159961523541247,0.8503074038224057,2.843548614219949,11.98266998189707,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,17.020688951410165,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,68,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,8.077693331055492,0.008828057000073386
