run_key,status,province,block_id,variant,budget_k,candidate_count,ablation_dexisting,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
ablation_v13|hanoi|0|A1_no_temporal,ok,hanoi,0,A1_no_temporal,36,719,0.25,36,0.6306443584561604,0.324838758267316,0.40244240804057574,0.27027779744453884,0.7549301622799169,1.8899596404908448,6.080674149035105,0.06366388787264074,0.5069970206826645,0.198894100612454,0.2327747212678773,0.4562268654475351,0.4642857142857143,5.007307685982397,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3307498992129435,0.34805799904967616,0.5489582514949867,4419,36,0,0,True,True,True,True,True,True,True,True,0.5069970206826645,5.634083405707175,0.6852406409998366
ablation_v13|hanoi|0|A2_no_existing_network,ok,hanoi,0,A2_no_existing_network,37,737,0.0,37,0.583012807244144,0.3345083511079748,0.40946097911015295,0.2747537529373692,0.751368392192377,1.8702779079736989,6.293713210458462,0.05916263226475441,0.5010807788499676,0.19262421504207547,0.2309748072901611,0.44508900846773214,0.4642857142857143,5.058573846229909,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3203234259586154,0.34536666532523574,0.5355565451157797,4350,37,0,0,True,True,True,True,True,True,True,True,0.5010807788499676,3.142293708139493,0.7132349789999353
ablation_v13|hanoi|0|A3_no_equity,ok,hanoi,0,A3_no_equity,36,719,0.25,36,0.5727607079641616,0.32896383595877865,0.39823569560326894,0.27411841843285206,0.7521825699845623,1.885473364506043,6.245204050735589,0.059804571770165925,0.5069970206826645,0.20589595889408463,0.24512781093749622,0.45093954441611106,0.4642857142857143,5.077330558221214,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3423936026401513,0.36652904113306806,0.5425962445016984,4305,36,0,0,True,True,True,True,True,True,True,True,0.5069970206826645,3.894001343892209,0.6988490920002732
ablation_v13|hanoi|0|A4_no_local_search,ok,hanoi,0,A4_no_local_search,36,719,0.25,36,0.6306488760031429,0.324838758267316,0.40244240804057574,0.27027779744453884,0.7549301622799169,1.8899596404908448,6.080674149035105,0.06366388787264074,0.5069970206826645,0.198894100612454,0.2327747212678773,0.4562268654475351,0.4642857142857143,5.007307685982397,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3307498992129435,0.34805799904967616,0.5489582514949867,4417,36,0,0,True,True,True,True,True,True,True,True,0.5069970206826645,5.634083405707175,0.6952589359998456
ablation_v13|hanoi|0|Full,ok,hanoi,0,Full,36,719,0.25,36,0.6306488760031429,0.324838758267316,0.40244240804057574,0.27027779744453884,0.7549301622799169,1.8899596404908448,6.080674149035105,0.06366388787264074,0.5069970206826645,0.198894100612454,0.2327747212678773,0.4562268654475351,0.4642857142857143,5.007307685982397,0.6013428910658623,0.6687814154636188,0.8310775258502541,0.3307498992129435,0.34805799904967616,0.5489582514949867,4417,36,0,0,True,True,True,True,True,True,True,True,0.5069970206826645,5.634083405707175,0.711587168999813
ablation_v13|hanoi|1|A1_no_temporal,ok,hanoi,1,A1_no_temporal,32,631,0.25,32,0.2992425893850264,0.026262677247104613,0.05611403953962095,0.5085674905996913,0.5476844993807695,0.9666326691487649,2.2366762783507093,0.018877289078399917,0.8230363822913537,0.17007208580954858,0.17661157728988094,0.4604711407094054,0.6875,3.399052308717841,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.8694545406425118,0.8684337860493155,0.9273760852143053,706,32,0,0,True,True,True,True,True,True,True,True,0.8230363822913537,0.5349942717925547,0.16787387100021078
ablation_v13|hanoi|1|A2_no_existing_network,ok,hanoi,1,A2_no_existing_network,37,737,0.0,37,0.583012807244144,0.15432484944598948,0.4791085649003681,0.43294331300268724,0.6141892929519066,1.9339551627244278,11.34418032327435,0.05916263226475441,0.5010807788499676,0.0,0.0,0.0,0.0,26.642335371200378,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.0,0.0,0.0,4350,37,0,0,True,True,True,True,True,True,True,True,0.5010807788499676,0.06180950776855185,1.1981643340000119
ablation_v13|hanoi|1|A3_no_equity,ok,hanoi,1,A3_no_equity,32,631,0.25,32,0.04242896159942953,0.13483407721609006,0.5286298390307169,0.501408641847522,0.5540882444376276,0.9181242220134161,2.2409334922618704,0.037160779940584324,0.5180139839097017,0.1130672838255494,0.10293126269373033,0.3191390124246545,0.4375,4.144334489907563,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.5780305618778986,0.5061332192126596,0.642737105143168,1126,32,0,0,True,True,True,True,True,True,True,True,0.5180139839097017,0.44667023514194837,0.2899134049998793
ablation_v13|hanoi|1|A4_no_local_search,ok,hanoi,1,A4_no_local_search,32,631,0.25,32,0.29849746145333,0.026262677247104613,0.05611403953962095,0.5085674905996913,0.5476844993807695,0.9666326691487649,2.2366762783507093,0.018877289078399917,0.8230363822913537,0.17007208580954858,0.17661157728988094,0.4604711407094054,0.6875,3.399052308717841,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.8694545406425118,0.8684337860493155,0.9273760852143053,706,32,0,0,True,True,True,True,True,True,True,True,0.8230363822913537,0.5349942717925547,0.1020504630000687
ablation_v13|hanoi|1|Full,ok,hanoi,1,Full,32,631,0.25,32,0.29849746145333,0.026262677247104613,0.05611403953962095,0.5085674905996913,0.5476844993807695,0.9666326691487649,2.2366762783507093,0.018877289078399917,0.8230363822913537,0.17007208580954858,0.17661157728988094,0.4604711407094054,0.6875,3.399052308717841,0.19560779530102662,0.20336792525463968,0.4965311787213018,0.8694545406425118,0.8684337860493155,0.9273760852143053,706,32,0,0,True,True,True,True,True,True,True,True,0.8230363822913537,0.5349942717925547,0.09132228599992231
ablation_v13|hanoi|2|A1_no_temporal,ok,hanoi,2,A1_no_temporal,32,631,0.25,32,0.2695487303532317,0.025525921564253668,0.06662270463068908,0.4413409573955262,0.607006755042633,0.9873934303877915,2.3310815106185565,0.02947262949484621,0.5468427458034067,0.18553438693297913,0.20786920861084288,0.3492502320127517,0.21052631578947367,3.8918197384418636,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.8928635386635615,0.9259231293511895,0.9282524306017542,716,32,0,0,True,True,True,True,True,True,True,True,0.5468427458034067,0.7964293735622842,0.09823099699997329
ablation_v13|hanoi|2|A2_no_existing_network,ok,hanoi,2,A2_no_existing_network,37,737,0.0,37,0.583012807244144,0.15433207826171458,0.4574608633319797,0.3749478675027463,0.665634808303786,1.546473602194735,5.438249740528249,0.05916263226475441,0.5010807788499676,0.0,0.0,0.0,0.0,20.184698378903054,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.0,0.0,0.0,4350,37,0,0,True,True,True,True,True,True,True,True,0.5010807788499676,0.06180950776855185,0.68539967300012
ablation_v13|hanoi|2|A3_no_equity,ok,hanoi,2,A3_no_equity,32,631,0.25,32,0.04338765282529873,0.12844790438105058,0.4968942874682886,0.44645830114216645,0.6028724865326569,0.9227979269058849,2.352460216495577,0.03417969390429025,0.5468427458034067,0.17663244791134874,0.1934626878257017,0.2988479227368465,0.21052631578947367,4.016751484193151,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.8500239502335671,0.8617513797323522,0.7942909846102393,1115,32,0,0,True,True,True,True,True,True,True,True,0.5468427458034067,0.44667023514194837,0.1657825669999511
ablation_v13|hanoi|2|A4_no_local_search,ok,hanoi,2,A4_no_local_search,32,631,0.25,32,0.2685545240484134,0.025525921564253668,0.06662270463068908,0.4413409573955262,0.607006755042633,0.9873934303877915,2.3310815106185565,0.02947262949484621,0.5468427458034067,0.18553438693297913,0.20786920861084288,0.3492502320127517,0.21052631578947367,3.8918197384418636,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.8928635386635615,0.9259231293511895,0.9282524306017542,715,32,0,0,True,True,True,True,True,True,True,True,0.5468427458034067,0.7964293735622842,0.09722917499993855
ablation_v13|hanoi|2|Full,ok,hanoi,2,Full,32,631,0.25,32,0.2685545240484134,0.025525921564253668,0.06662270463068908,0.4413409573955262,0.607006755042633,0.9873934303877915,2.3310815106185565,0.02947262949484621,0.5468427458034067,0.18553438693297913,0.20786920861084288,0.3492502320127517,0.21052631578947367,3.8918197384418636,0.20779702485184587,0.22449942335547926,0.3762448882426785,0.8928635386635615,0.9259231293511895,0.9282524306017542,715,32,0,0,True,True,True,True,True,True,True,True,0.5468427458034067,0.7964293735622842,0.09544346399979986
